statement,label,lang,dataset
A palavra em inglês 'flower' significa 'sol'.,0,pt,traducoes_en_pt
A palavra em inglês 'garden' significa 'jardim'.,1,pt,traducoes_en_pt
A palavra em inglês 'garden' significa 'semana'.,0,pt,traducoes_en_pt
A palavra em inglês 'sea' significa 'mar'.,1,pt,traducoes_en_pt
A palavra em inglês 'sea' significa 'fogo'.,0,pt,traducoes_en_pt
A palavra em inglês 'island' significa 'ilha'.,1,pt,traducoes_en_pt
A palavra em inglês 'island' significa 'rio'.,0,pt,traducoes_en_pt
A palavra em inglês 'sand' significa 'areia'.,1,pt,traducoes_en_pt
A palavra em inglês 'sand' significa 'dia'.,0,pt,traducoes_en_pt
A palavra em inglês 'wind' significa 'vento'.,1,pt,traducoes_en_pt
A palavra em inglês 'wind' significa 'coração'.,0,pt,traducoes_en_pt
