statement,label,lang,dataset
A cidade de Sorocaba fica na Paraíba.,0,pt,cidades_br
A cidade de Aracaju fica em Sergipe.,1,pt,cidades_br
A cidade de Aracaju fica em Minas Gerais.,0,pt,cidades_br
A cidade de Feira de Santana fica na Bahia.,1,pt,cidades_br
A cidade de Feira de Santana fica no Rio de Janeiro.,0,pt,cidades_br
A cidade de Cuiabá fica no Mato Grosso.,1,pt,cidades_br
A cidade de Cuiabá fica em São Paulo.,0,pt,cidades_br
A cidade de Joinville fica em Santa Catarina.,1,pt,cidades_br
A cidade de Joinville fica no Ceará.,0,pt,cidades_br
A cidade de Juiz de Fora fica em Minas Gerais.,1,pt,cidades_br
A cidade de Juiz de Fora fica em São Paulo.,0,pt,cidades_br
A cidade de Londrina fica no Paraná.,1,pt,cidades_br
A cidade de Londrina fica em São Paulo.,0,pt,cidades_br
A cidade de Ananindeua fica no Pará.,1,pt,cidades_br
A cidade de Ananindeua fica em Santa Catarina.,0,pt,cidades_br
A cidade de Niterói fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de Niterói fica em Santa Catarina.,0,pt,cidades_br
A cidade de Porto Velho fica em Rondônia.,1,pt,cidades_br
A cidade de Porto Velho fica no Amazonas.,0,pt,cidades_br
A cidade de Macapá fica no Amapá.,1,pt,cidades_br
A cidade de Macapá fica no Ceará.,0,pt,cidades_br
A cidade de Florianópolis fica em Santa Catarina.,1,pt,cidades_br
A cidade de Florianópolis fica em Minas Gerais.,0,pt,cidades_br
A cidade de Belford Roxo fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de Belford Roxo fica no Maranhão.,0,pt,cidades_br
A cidade de Serra fica no Espírito Santo.,1,pt,cidades_br
A cidade de Serra fica na Bahia.,0,pt,cidades_br
A cidade de Mogi das Cruzes fica em São Paulo.,1,pt,cidades_br
A cidade de Mogi das Cruzes fica no Piauí.,0,pt,cidades_br
A cidade de Vitória fica no Espírito Santo.,1,pt,cidades_br
A cidade de Vitória fica em Pernambuco.,0,pt,cidades_br
A cidade de Caxias do Sul fica no Rio Grande do Sul.,1,pt,cidades_br
A cidade de Caxias do Sul fica na Paraíba.,0,pt,cidades_br
A cidade de São João de Meriti fica no Rio de Janeiro.,1,pt,cidades_br
A cidade de São João de Meriti fica em Minas Gerais.,0,pt,cidades_br
A cidade de Betim fica em Minas Gerais.,1,pt,cidades_br
A cidade de Betim fica em Alagoas.,0,pt,cidades_br
A cidade de Carapicuíba fica em São Paulo.,1,pt,cidades_br
A cidade de Carapicuíba fica em Sergipe.,0,pt,cidades_br
